date,location_name,iso2_code,target_group,dose,doses_administered
2023-11-30,Hungary,HU,ALL,,1165
2023-11-30,Ireland,IE,ALL,,205202
2023-11-30,Iceland,IS,ALL,,10398
2023-11-30,Liechtenstein,LI,ALL,,376
2023-11-30,Luxembourg,LU,ALL,,8115
2023-11-30,Malta,MT,ALL,,5
2023-11-30,Netherlands,NL,ALL,,1174360
2023-11-30,Norway,NO,ALL,,306128
2023-11-30,Poland,PL,ALL,,8618
2023-11-30,Portugal,PT,ALL,,587534
2023-11-30,Romania,RO,ALL,,1088
2023-11-30,Sweden,SE,ALL,,1508449
2023-11-30,Slovenia,SI,ALL,,14514
2023-11-30,Slovakia,SK,ALL,,12908
2023-11-30,Bulgaria,BG,Age18_24,,116
2023-11-30,Bulgaria,BG,Age25_49,,1947
2023-11-30,Bulgaria,BG,Age50_59,,1829
2023-11-30,Belgium,BE,Age60+,,147498
2023-11-30,Cyprus,CY,Age60+,,1039
2023-11-30,Czechia,CZ,Age60+,,102155
2023-11-30,Germany,DE,Age60+,,1422035
2023-11-30,Greece,GR,Age60+,,64966
2023-11-30,Spain,ES,Age60+,,2574037
2023-11-30,Finland,FI,Age60+,,633633
2023-11-30,France,FR,Age60+,,1771418
2023-11-30,Liechtenstein,LI,Age60+,,316
2023-11-30,Lithuania,LT,Age60+,,15184
2023-11-30,Netherlands,NL,Age60+,,1077663
2023-11-30,Norway,NO,Age60+,,263024
2023-11-30,Portugal,PT,Age60+,,508326
2023-11-30,Sweden,SE,Age60+,,1297525
2023-11-30,Slovakia,SK,Age60+,,8967
2023-11-30,Belgium,BE,Age60_69,,61140
2023-11-30,Bulgaria,BG,Age60_69,,5328
2023-11-30,Cyprus,CY,Age60_69,,227
2023-11-30,Czechia,CZ,Age60_69,,29148
2023-11-30,Denmark,DK,Age60_69,,80804
2023-11-30,Estonia,EE,Age60_69,,7143
2023-11-30,Greece,GR,Age60_69,,22564
2023-11-30,Spain,ES,Age60_69,,985200
2023-11-30,Finland,FI,Age60_69,,172504
2023-11-30,France,FR,Age60_69,,466925
2023-11-30,Hungary,HU,Age60_69,,279
2023-11-30,Ireland,IE,Age60_69,,56316
2023-11-30,Iceland,IS,Age60_69,,3272
2023-11-30,Italy,IT,Age60_69,,178073
2023-11-30,Liechtenstein,LI,Age60_69,,64
2023-11-30,Luxembourg,LU,Age60_69,,2165
2023-11-30,Malta,MT,Age60_69,,0
2023-11-30,Netherlands,NL,Age60_69,,305716
2023-11-30,Norway,NO,Age60_69,,82956
2023-11-30,Poland,PL,Age60_69,,2153
2023-11-30,Portugal,PT,Age60_69,,204335
2023-11-30,Romania,RO,Age60_69,,168
2023-11-30,Sweden,SE,Age60_69,,370512
2023-11-30,Slovenia,SI,Age60_69,,3134
2023-11-30,Slovakia,SK,Age60_69,,3682
2023-11-30,Belgium,BE,Age70_79,,56771
2023-11-30,Bulgaria,BG,Age70_79,,9739
2023-11-30,Cyprus,CY,Age70_79,,413
2023-11-30,Czechia,CZ,Age70_79,,48531
2023-11-30,Denmark,DK,Age70_79,,118322
2023-11-30,Estonia,EE,Age70_79,,8310
2023-11-30,Greece,GR,Age70_79,,26604
2023-11-30,Spain,ES,Age70_79,,1005689
2023-11-30,Finland,FI,Age70_79,,294299
2023-11-30,France,FR,Age70_79,,745501
2023-11-30,Hungary,HU,Age70_79,,428
2023-11-30,Ireland,IE,Age70_79,,49706
2023-11-30,Iceland,IS,Age70_79,,3620
2023-11-30,Italy,IT,Age70_79,,268962
2023-11-30,Liechtenstein,LI,Age70_79,,116
2023-11-30,Luxembourg,LU,Age70_79,,2332
