YearWeekISO,ReportingCountry,Denominator,NumberOfIndivOneDose,Region,TargetGroup,Vaccine,Population
2023-10,CZ,,1967,,ALL,COMBA.4-5,10827529
2023-10,CZ,,1,,ALL,JANSS,10827529
2023-11,CZ,,5598,,ALL,COM,10827529
2023-11,CZ,,1721,,ALL,COMBA.4-5,10827529
2023-10,CZ,,168615,,ALL,COMXBB,10827529
2024-02,CZ,,143,,ALL,OTHER,10827529
2024-01,CZ,,861,,ALL,OTHER,10827529
2024-01,CZ,,16402,,ALL,COMXBB,10827529
2024-03,CZ,,11,,ALL,NVXDXBB,10827529
2024-03,CZ,,618,,ALL,COMXBB,10827529
2024-03,CZ,,24,,ALL,OTHER,10827529
2024-02,CZ,,2328,,ALL,COMXBB,10827529
2024-02,CZ,,55,,ALL,NVXDXBB,10827529
2024-01,CZ,,34,,Age80+,NVXDXBB,10827529
2024-03,CZ,,1,,Age80+,OTHER,10827529
2023-10,CZ,,351,,Age80+,COMBA.4-5,10827529
2023-11,CZ,,397,,Age80+,COMBA.4-5,10827529
2023-11,CZ,,44,,Age80+,MOD,10827529
2023-11,CZ,,4,,Age80+,MODBA.1,10827529
2023-09,CZ,,3,,Age80+,MODBA.1,10827529
2023-10,CZ,,2181,,Age80+,COM,10827529
2023-11,CZ,,1280,,Age80+,COM,10827529
2023-10,CZ,,14,,Age80+,MODBA.4-5,10827529
2023-10,CZ,,35252,,Age80+,COMXBB,10827529
2023-10,CZ,,283,,Age80+,COMBA.1,10827529
2023-11,CZ,,22463,,Age80+,COMXBB,10827529
2023-12,CZ,,339,,Age80+,OTHER,10827529
2023-12,CZ,,5695,,Age80+,COMXBB,10827529
2023-12,CZ,,8,,Age80+,NVXDXBB,10827529
2023-11,CZ,,268,,Age80+,COMBA.1,10827529
2023-09,CZ,,2220,,Age80+,COMXBB,10827529
2023-12,CZ,,3018,,Chronic,COMXBB,10827529
2023-11,CZ,,104,,Chronic,COMBA.4-5,10827529
2023-11,CZ,,9,,Chronic,MOD,10827529
2023-09,CZ,,118,,Chronic,COMBA.4-5,10827529
2023-10,CZ,,5,,Chronic,MOD,10827529
2023-10,CZ,,113,,Chronic,COMBA.4-5,10827529
2023-09,CZ,,81,,Chronic,COM,10827529
2023-09,CZ,,8,,Chronic,COMBA.1,10827529
2023-09,CZ,,1143,,Chronic,COMXBB,10827529
2023-10,CZ,,536,,Chronic,COM,10827529
2023-10,CZ,,1,,Chronic,MODBA.4-5,10827529
2023-11,CZ,,77,,Chronic,COMBA.1,10827529
2023-11,CZ,,8842,,Chronic,COMXBB,10827529
2024-03,CZ,,6,,Chronic,OTHER,10827529
2024-01,CZ,,1594,,Chronic,COMXBB,10827529
2023-09,CZ,,185,,Age80+,COM,10827529
2023-09,CZ,,118,,Age80+,COMBA.4-5,10827529
2024-01,CZ,,2629,,Age80+,COMXBB,10827529
2024-03,CZ,,1,,Age80+,NVXDXBB,10827529
2023-10,CZ,,19,,Age80+,MOD,10827529
2024-01,CZ,,100,,Age80+,OTHER,10827529
2024-02,CZ,,342,,Age80+,COMXBB,10827529
2023-11,CZ,,60,,Age60+,MODBA.4-5,10827529
2023-12,CZ,,1639,,Age60+,OTHER,10827529
2023-09,CZ,,572,,Age60+,COMBA.4-5,10827529
2023-10,CZ,,1172,,Age60+,COMBA.1,10827529
2023-10,CZ,,142123,,Age60+,COMXBB,10827529
2023-09,CZ,,801,,Age60+,COM,10827529
2023-10,CZ,,86,,Age60+,MOD,10827529
2023-10,CZ,,38,,Age60+,MODBA.1,10827529
2023-10,CZ,,56,,Age60+,MODBA.4-5,10827529
2023-09,CZ,,60,,Age60+,COMBA.1,10827529
2023-09,CZ,,9329,,Age60+,COMXBB,10827529
2023-11,CZ,,956,,Age60+,COMBA.1,10827529
2023-11,CZ,,94679,,Age60+,COMXBB,10827529
2023-11,CZ,,1493,,Age60+,COMBA.4-5,10827529
2023-11,CZ,,92,,Age60+,MOD,10827529
2023-12,CZ,,25679,,Age60+,COMXBB,10827529
2023-09,CZ,,3,,Age60+,MODBA.4-5,10827529
2023-10,CZ,,8593,,Age60+,COM,10827529
2023-10,CZ,,1733,,Age60+,COMBA.4-5,10827529
2023-11,CZ,,4863,,Age60+,COM,10827529
2024-03,CZ,,15,,Age60+,OTHER,10827529
2024-02,CZ,,32,,Age60+,NVXDXBB,10827529
2024-03,CZ,,377,,Age60+,COMXBB,10827529
2023-09,CZ,,6,,Age60+,MOD,10827529
2023-09,CZ,,13,,Age60+,MODBA.1,10827529
2023-11,CZ,,12,,Age60+,MODBA.1,10827529
2023-12,CZ,,24,,Age60+,NVXDXBB,10827529
2024-02,CZ,,105,,Age60+,OTHER,10827529
2024-03,CZ,,8,,Age60+,NVXDXBB,10827529
2024-01,CZ,,12274,,Age60+,COMXBB,10827529
2024-01,CZ,,201,,Age60+,NVXDXBB,10827529
2024-01,CZ,,646,,Age60+,OTHER,10827529
2024-02,CZ,,1572,,Age60+,COMXBB,10827529
2024-02,CZ,,6,,Age80+,NVXDXBB,10827529
2024-02,CZ,,30,,Age80+,OTHER,10827529
2023-11,CZ,,20,,Age80+,MODBA.4-5,10827529
2023-09,CZ,,21,,Age80+,COMBA.1,10827529
2023-10,CZ,,5,,Age80+,MODBA.1,10827529
2023-09,CZ,,376,,Age70_79,COM,10827529
2024-01,CZ,,18,,Chronic,NVXDXBB,10827529
2023-10,CZ,,2,,Chronic,MODBA.1,10827529
2023-12,CZ,,155,,Chronic,OTHER,10827529
2023-12,CZ,,2,,Chronic,NVXDXBB,10827529
2024-01,CZ,,92,,Chronic,OTHER,10827529
2024-03,CZ,,1,,Chronic,NVXDXBB,10827529
2024-02,CZ,,18,,Chronic,OTHER,10827529
2024-03,CZ,,88,,Chronic,COMXBB,10827529
2023-10,CZ,,66,,Chronic,COMBA.1,10827529
2023-10,CZ,,12263,,Chronic,COMXBB,10827529
2023-11,CZ,,359,,Chronic,COM,10827529
2023-11,CZ,,3,,Chronic,MODBA.1,10827529
2023-11,CZ,,3,,Chronic,MODBA.4-5,10827529
2024-02,CZ,,8,,Chronic,NVXDXBB,10827529
2024-02,CZ,,287,,Chronic,COMXBB,10827529
2024-03,CZ,312329,2,,HCW,OTHER,10827529
2024-01,CZ,312329,45,,HCW,OTHER,10827529
2023-12,CZ,309851,3,,HCW,NVXDXBB,10827529
2024-02,CZ,312329,1,,HCW,NVXDXBB,10827529
2024-02,CZ,312329,5,,HCW,OTHER,10827529
2024-03,CZ,312329,35,,HCW,COMXBB,10827529
2024-01,CZ,312329,953,,HCW,COMXBB,10827529
2023-09,CZ,309851,9,,HCW,COMBA.1,10827529
2023-12,CZ,309851,91,,HCW,OTHER,10827529
2024-01,CZ,312329,19,,HCW,NVXDXBB,10827529
2024-02,CZ,312329,130,,HCW,COMXBB,10827529
2023-09,CZ,309851,57,,HCW,COMBA.4-5,10827529
2023-10,CZ,309851,60,,HCW,COMBA.1,10827529
2023-10,CZ,309851,11,,HCW,MOD,10827529
2023-11,CZ,309851,4,,HCW,MOD,10827529
2023-12,CZ,309851,1753,,HCW,COMXBB,10827529
2023-10,CZ,309851,2,,HCW,MODBA.1,10827529
2023-11,CZ,309851,72,,HCW,COMBA.4-5,10827529
2023-10,CZ,309851,84,,HCW,COMBA.4-5,10827529
2023-09,CZ,309851,105,,HCW,COM,10827529
2023-11,CZ,309851,1,,HCW,MODBA.4-5,10827529
2023-11,CZ,309851,44,,HCW,COMBA.1,10827529
2023-11,CZ,309851,6505,,HCW,COMXBB,10827529
2023-09,CZ,,7,,Age60_69,MODBA.1,10827529
2023-10,CZ,,9,,Age60_69,MODBA.4-5,10827529
2023-11,CZ,,14,,Age60_69,MOD,10827529
2024-03,CZ,,134,,Age60_69,COMXBB,10827529
2024-03,CZ,,3,,Age60_69,NVXDXBB,10827529
2023-09,CZ,,3,,Age60_69,MOD,10827529
2023-09,CZ,,3,,Age60_69,MODBA.4-5,10827529
2023-10,CZ,,28,,Age60_69,MOD,10827529
2024-01,CZ,,81,,Age60_69,NVXDXBB,10827529
2024-01,CZ,,219,,Age60_69,OTHER,10827529
2024-02,CZ,,35,,Age60_69,OTHER,10827529
2024-02,CZ,,546,,Age60_69,COMXBB,10827529
2023-09,CZ,,240,,Age60_69,COM,10827529
2023-09,CZ,,2801,,Age60_69,COMXBB,10827529
2023-10,CZ,,16,,Age60_69,MODBA.1,10827529
2023-10,CZ,,2178,,Age60_69,COM,10827529
2023-10,CZ,,334,,Age60_69,COMBA.1,10827529
2023-10,CZ,,522,,Age60_69,COMBA.4-5,10827529
2023-11,CZ,,1305,,Age60_69,COM,10827529
2023-11,CZ,,243,,Age60_69,COMBA.1,10827529
2023-11,CZ,,398,,Age60_69,COMBA.4-5,10827529
2023-11,CZ,,3,,Age60_69,MODBA.1,10827529
2023-09,CZ,,4308,,Age70_79,COMXBB,10827529
2023-11,CZ,,5,,Age70_79,MODBA.1,10827529
2023-12,CZ,,4,,Age70_79,NVXDXBB,10827529
2024-01,CZ,,86,,Age70_79,NVXDXBB,10827529
2024-02,CZ,,684,,Age70_79,COMXBB,10827529
2024-02,CZ,,9,,Age70_79,NVXDXBB,10827529
2024-03,CZ,,5,,Age70_79,OTHER,10827529
2023-09,CZ,309851,1144,,HCW,COMXBB,10827529
2023-10,CZ,309851,514,,HCW,COM,10827529
2023-10,CZ,309851,1,,HCW,MODBA.4-5,10827529
2023-10,CZ,309851,10584,,HCW,COMXBB,10827529
2023-11,CZ,309851,249,,HCW,COM,10827529
2023-12,CZ,,12,,Age60_69,NVXDXBB,10827529
2023-10,CZ,,38880,,Age60_69,COMXBB,10827529
2023-11,CZ,,11,,Age60_69,MODBA.4-5,10827529
2023-09,CZ,,9,,Age60_69,COMBA.1,10827529
2023-09,CZ,,191,,Age60_69,COMBA.4-5,10827529
2023-11,CZ,,27174,,Age60_69,COMXBB,10827529
2023-12,CZ,,516,,Age60_69,OTHER,10827529
2023-12,CZ,,7896,,Age60_69,COMXBB,10827529
2024-02,CZ,,17,,Age60_69,NVXDXBB,10827529
2024-01,CZ,,4121,,Age60_69,COMXBB,10827529
2024-03,CZ,,9,,Age60_69,OTHER,10827529
