"rep","month","VE_inf","VE_sev"
128,14,0.662655871420518,0.68628218516789
128,15,0.646893625568869,0.669957952647269
128,16,0.630426201647031,0.652903399657436
128,17,0.613364960346197,0.635233857340527
128,18,0.595818102755607,0.617061384584366
128,19,0.577889471808667,0.598493526735376
128,20,0.559677661493958,0.579632393049427
128,21,0.541275383093868,0.560574000334353
128,22,0.522769044732059,0.54140783750662
128,23,0.504238506649211,0.522216612141677
128,24,0.48575697998796,0.503076145650175
128,25,0.46739104154474,0.484055388555769
128,26,0.449200741019874,0.465216531569103
128,27,0.431239780840029,0.446615191821649
128,28,0.413555751703157,0.428300656808764
128,29,0.396190409661989,0.410316171352304
128,30,0.379179982868208,0.392699255281448
128,31,0.36255549809006,0.375482041591966
128,32,0.346343118830512,0.358691626619618
128,33,0.330564488345799,0.342350425288688
128,34,0.315237072125974,0.326476525803318
128,35,0.300374495476649,0.311084039265383
128,36,0.285986872758474,0.296183440652662
129,0,0.770391049375039,0.796599356759778
129,1,0.770254855345354,0.796458529479231
129,2,0.769383137497392,0.795557156238296
129,3,0.767242898429483,0.793344107337752
129,4,0.763481992241589,0.789455257055106
129,5,0.757891717965077,0.78367480452208
129,6,0.750375730223759,0.775903126742328
129,7,0.740924314506652,0.766130178722196
129,8,0.729593207989486,0.754413593787476
129,9,0.71648626260467,0.740860756859919
129,10,0.701741347311158,0.725614227129572
129,11,0.685518973254898,0.70883997624904
129,12,0.667993200485809,0.690717985701642
129,13,0.649344449637717,0.671434813938399
129,14,0.629753897820209,0.651177801621011
129,15,0.609399186083593,0.630130633056978
129,16,0.588451207220005,0.608470014723356
129,17,0.567071778245079,0.586363268567447
129,18,0.545412032441632,0.563966669348644
129,19,0.523611392016321,0.541424382345385
129,20,0.501797004811412,0.518867880904155
129,21,0.480083547639971,0.496415743084235
129,22,0.458573315120243,0.474173743514186
129,23,0.437356526761843,0.452235170924954
129,24,0.416511796839763,0.430681314008741
129,25,0.396106721574688,0.409582068574906
129,26,0.376198546573583,0.388996627696529
