country,age_group,target_end_date,year_week,week,year,weekly_rsv_hospitalisations
France,total,2026-03-15,2026-W11,11,2026,839
France,total,2026-03-22,2026-W12,12,2026,702
France,total,2026-03-29,2026-W13,13,2026,638
France,total,2026-04-05,2026-W14,14,2026,535
France,total,2026-04-12,2026-W15,15,2026,454
France,total,2026-04-19,2026-W16,16,2026,404
France,total,2026-04-26,2026-W17,17,2026,324
France,total,2026-05-03,2026-W18,18,2026,308
Germany,total,2025-09-07,2025-W36,36,2025,112
Germany,total,2025-09-14,2025-W37,37,2025,125
Germany,total,2025-09-21,2025-W38,38,2025,167
Germany,total,2025-09-28,2025-W39,39,2025,253
Germany,total,2025-10-05,2025-W40,40,2025,365
Germany,total,2025-10-12,2025-W41,41,2025,596
Germany,total,2025-10-19,2025-W42,42,2025,877
Germany,total,2025-10-26,2025-W43,43,2025,1364
Germany,total,2025-11-02,2025-W44,44,2025,1870
Germany,total,2025-11-09,2025-W45,45,2025,2567
Germany,total,2025-11-16,2025-W46,46,2025,3372
Germany,total,2025-11-23,2025-W47,47,2025,3987
Germany,total,2025-11-30,2025-W48,48,2025,4659
Germany,total,2025-12-07,2025-W49,49,2025,4735
Germany,total,2025-12-14,2025-W50,50,2025,4912
Germany,total,2025-12-21,2025-W51,51,2025,4573
Germany,total,2025-12-28,2025-W52,52,2025,4119
Germany,total,2026-01-04,2026-W1,1,2026,3627
Germany,total,2026-01-11,2026-W2,2,2026,2803
Germany,total,2026-01-18,2026-W3,3,2026,2184
Germany,total,2026-01-25,2026-W4,4,2026,1978
Germany,total,2026-02-01,2026-W5,5,2026,1715
Germany,total,2026-02-08,2026-W6,6,2026,1494
Germany,total,2026-02-15,2026-W7,7,2026,1327
Germany,total,2026-02-22,2026-W8,8,2026,1265
Germany,total,2026-03-01,2026-W9,9,2026,1097
Germany,total,2026-03-08,2026-W10,10,2026,910
Germany,total,2026-03-15,2026-W11,11,2026,819
Germany,total,2026-03-22,2026-W12,12,2026,687
Germany,total,2026-03-29,2026-W13,13,2026,624
Germany,total,2026-04-05,2026-W14,14,2026,519
Germany,total,2026-04-12,2026-W15,15,2026,443
Germany,total,2026-04-19,2026-W16,16,2026,393
Germany,total,2026-04-26,2026-W17,17,2026,314
Germany,total,2026-05-03,2026-W18,18,2026,300
Greece,total,2025-09-07,2025-W36,36,2025,11
Greece,total,2025-09-14,2025-W37,37,2025,13
Greece,total,2025-09-21,2025-W38,38,2025,18
Greece,total,2025-09-28,2025-W39,39,2025,29
Greece,total,2025-10-05,2025-W40,40,2025,43
Greece,total,2025-10-12,2025-W41,41,2025,73
Greece,total,2025-10-19,2025-W42,42,2025,107
Greece,total,2025-10-26,2025-W43,43,2025,171
Greece,total,2025-11-02,2025-W44,44,2025,234
Greece,total,2025-11-09,2025-W45,45,2025,325
Greece,total,2025-11-16,2025-W46,46,2025,425
Greece,total,2025-11-23,2025-W47,47,2025,505
Greece,total,2025-11-30,2025-W48,48,2025,589
Greece,total,2025-12-07,2025-W49,49,2025,599
Greece,total,2025-12-14,2025-W50,50,2025,622
Greece,total,2025-12-21,2025-W51,51,2025,578
Greece,total,2025-12-28,2025-W52,52,2025,521
Greece,total,2026-01-04,2026-W1,1,2026,458
Greece,total,2026-01-11,2026-W2,2,2026,355
Greece,total,2026-01-18,2026-W3,3,2026,274
Greece,total,2026-01-25,2026-W4,4,2026,247
Greece,total,2026-02-01,2026-W5,5,2026,214
Greece,total,2026-02-08,2026-W6,6,2026,187
