survtype,location_name,iso2_code,yearweek,week_end_date,indicator,age,value
non-sentinel,Austria,AT,2022-W15,2022-04-17,deaths,5-14,0
non-sentinel,Austria,AT,2022-W15,2022-04-17,deaths,65+,149
non-sentinel,Austria,AT,2022-W15,2022-04-17,deaths,total,162
non-sentinel,Austria,AT,2022-W14,2022-04-10,deaths,0-4,0
non-sentinel,Austria,AT,2022-W14,2022-04-10,deaths,15-64,21
non-sentinel,Austria,AT,2022-W14,2022-04-10,deaths,5-14,0
non-sentinel,Austria,AT,2022-W14,2022-04-10,deaths,65+,195
non-sentinel,Austria,AT,2022-W14,2022-04-10,deaths,total,216
non-sentinel,Austria,AT,2022-W13,2022-04-03,deaths,0-4,0
non-sentinel,Austria,AT,2022-W13,2022-04-03,deaths,15-64,18
non-sentinel,Austria,AT,2022-W13,2022-04-03,deaths,5-14,0
non-sentinel,Austria,AT,2022-W13,2022-04-03,deaths,65+,267
non-sentinel,Austria,AT,2022-W13,2022-04-03,deaths,total,285
non-sentinel,Austria,AT,2022-W12,2022-03-27,deaths,0-4,0
non-sentinel,Austria,AT,2022-W12,2022-03-27,deaths,15-64,25
non-sentinel,Austria,AT,2022-W12,2022-03-27,deaths,5-14,0
non-sentinel,Austria,AT,2022-W12,2022-03-27,deaths,65+,265
non-sentinel,Austria,AT,2022-W12,2022-03-27,deaths,total,290
non-sentinel,Austria,AT,2022-W11,2022-03-20,deaths,0-4,0
non-sentinel,Austria,AT,2022-W11,2022-03-20,deaths,15-64,16
non-sentinel,Austria,AT,2022-W11,2022-03-20,deaths,5-14,0
non-sentinel,Austria,AT,2022-W11,2022-03-20,deaths,65+,223
non-sentinel,Austria,AT,2022-W11,2022-03-20,deaths,total,239
non-sentinel,Austria,AT,2022-W10,2022-03-13,deaths,0-4,0
non-sentinel,Austria,AT,2022-W10,2022-03-13,deaths,15-64,13
non-sentinel,Austria,AT,2022-W10,2022-03-13,deaths,5-14,1
non-sentinel,Austria,AT,2022-W10,2022-03-13,deaths,65+,181
non-sentinel,Austria,AT,2022-W10,2022-03-13,deaths,total,195
non-sentinel,Austria,AT,2022-W09,2022-03-06,deaths,0-4,0
non-sentinel,Austria,AT,2022-W09,2022-03-06,deaths,15-64,21
non-sentinel,Austria,AT,2022-W09,2022-03-06,deaths,5-14,0
non-sentinel,Austria,AT,2022-W09,2022-03-06,deaths,65+,200
non-sentinel,Austria,AT,2022-W09,2022-03-06,deaths,total,221
non-sentinel,Austria,AT,2022-W08,2022-02-27,deaths,0-4,0
non-sentinel,Austria,AT,2022-W08,2022-02-27,deaths,15-64,19
non-sentinel,Austria,AT,2022-W08,2022-02-27,deaths,5-14,0
non-sentinel,Austria,AT,2022-W08,2022-02-27,deaths,65+,200
non-sentinel,Austria,AT,2022-W08,2022-02-27,deaths,total,219
non-sentinel,Austria,AT,2022-W07,2022-02-20,deaths,0-4,0
non-sentinel,Austria,AT,2022-W07,2022-02-20,deaths,15-64,18
non-sentinel,Austria,AT,2022-W07,2022-02-20,deaths,5-14,0
non-sentinel,Austria,AT,2022-W07,2022-02-20,deaths,65+,179
non-sentinel,Austria,AT,2022-W07,2022-02-20,deaths,total,197
non-sentinel,Austria,AT,2022-W06,2022-02-13,deaths,0-4,0
non-sentinel,Austria,AT,2022-W06,2022-02-13,deaths,15-64,18
non-sentinel,Austria,AT,2022-W06,2022-02-13,deaths,5-14,0
non-sentinel,Austria,AT,2022-W06,2022-02-13,deaths,65+,163
non-sentinel,Austria,AT,2022-W06,2022-02-13,deaths,total,181
non-sentinel,Austria,AT,2022-W05,2022-02-06,deaths,0-4,0
non-sentinel,Austria,AT,2022-W05,2022-02-06,deaths,15-64,14
non-sentinel,Austria,AT,2022-W05,2022-02-06,deaths,5-14,0
non-sentinel,Austria,AT,2022-W05,2022-02-06,deaths,65+,127
